分组,参数,值,单位,说明,来源
地图,GRID.W,34,格,初始地图宽,GRID
地图,GRID.H,20,格,初始地图高,GRID
地图,GRID.CELL,26,px,每格像素边长,GRID
地图,GRID.OX,16,px,绘制原点 X 偏移,GRID
地图,GRID.OY,16,px,绘制原点 Y 偏移,GRID
地图,初始总格数,680,格,W×H（派生）,GRID
地图,转生边长增幅,0.12,倍/次,每转生一次边长 +12%,sim.mapSizeFor
地图,转生边长上限,2,倍,边长最多 2×（面积 4×）,sim.mapSizeFor
地图,上限对应格数,2720,格,68×40（派生，面积是初始 4 倍）,sim.mapSizeFor
基质,孢子落点.core,无产出,/s,生长水耗 0,SOILS
基质,孢子落点.growCost,0,水,连这一格的水耗基数,SOILS
基质,普通壤土.soil,水 0.12 /s,/s,生长水耗 8,SOILS
基质产出,普通壤土→水,0.12,/s/格,,SOILS
基质,普通壤土.growCost,8,水,连这一格的水耗基数,SOILS
基质,落叶层.litter,养分 0.55 /s,/s,生长水耗 12,SOILS
基质产出,落叶层→养分,0.55,/s/格,,SOILS
基质,落叶层.growCost,12,水,连这一格的水耗基数,SOILS
基质,腐木.wood,养分 1.8 /s,/s,生长水耗 22,SOILS
基质产出,腐木→养分,1.8,/s/格,,SOILS
基质,腐木.growCost,22,水,连这一格的水耗基数,SOILS
基质,地下水脉.vein,水 1 /s,/s,生长水耗 20,SOILS
基质产出,地下水脉→水,1,/s/格,,SOILS
基质,地下水脉.growCost,20,水,连这一格的水耗基数,SOILS
基质,树根.root,孢子 0.4 /s,/s,生长水耗 30,SOILS
基质产出,树根→孢子,0.4,/s/格,,SOILS
基质,树根.growCost,30,水,连这一格的水耗基数,SOILS
基质,岩块.rock,无产出,/s,生长水耗 0，不可生长,SOILS
基质,岩块.growCost,0,水,连这一格的水耗基数,SOILS
地图生成,GEN.rockClusters,14,个/块,,GEN
地图生成,GEN.rockClusterSize,5.5,个/块,,GEN
地图生成,GEN.woodBlobs,8,个/块,,GEN
地图生成,GEN.woodBlobSize,3.4,个/块,,GEN
地图生成,GEN.rootBlobs,9,个/块,,GEN
地图生成,GEN.rootBlobSize,3,个/块,,GEN
地图生成,GEN.rootBlobsNear,3,个/块,核心外圈额外补的树根块（保证养树路线可行）,GEN
地图生成,GEN.veinRivers,3,个/块,,GEN
地图生成,GEN.veinLength,26,个/块,,GEN
地图生成,GEN.veinWidth,1.4,个/块,,GEN
地图生成,GEN.noiseScale,0.11,阈值,,GEN
地图生成,GEN.litterThreshold,0.5,阈值,,GEN
开局,START.water,40,水,初始水量,START
开局,START.nutrient,0,养分,初始养分,START
开局,START.spore,0,孢子,初始孢子,START
开局,START.seep,0.45,/s,核心基础渗水,START
代谢,SPORE_METABOLISM,0.01,/s/格,每个菌丝节点产生的孢子（扩张永远有收益的来源）,SPORE_METABOLISM
生长,GROW.distCost,0.12,倍/格,每格距离 +12% 水耗,GROW
生长,GROW.autoInterval,6,s,自动扩张基准间隔,GROW
生长,GROW.autoDecay,0.86,倍/级,蔓延速度每级 ×0.86,GROW
生长,GROW.autoUnlockNodes,250,格,m10 解锁自动蔓延所需节点数,GROW
生长,生长效率折扣,0.8043570000000001,倍,生长效率 Lv3 时的水耗（×0.93^级，示例值）,GROW+UPGRADES
运输,TRANSPORT.distLoss,0.055,/格,距离损耗系数：效率 = 1/(1+dist×loss),TRANSPORT
运输,TRANSPORT.transportDecay,0.88,倍/级,运输效率升级：loss × 0.88^级,TRANSPORT
运输,TRANSPORT.baseCapacity,140,货物/s,单节点吞吐基数（水不受限）,TRANSPORT
运输,TRANSPORT.coreCapacity,110,货物/s,核心吞吐基数（唯一结构性瓶颈）,TRANSPORT
运输,TRANSPORT.capacityPerLevel,0.4,倍/级,菌丝加粗每级 +40% 吞吐,TRANSPORT
运输,TRANSPORT.overflowPass,0.3,比例,软上限：超载部分只有 30% 能挤过去,TRANSPORT
距离效率,距离 0 格 / 运输 Lv0,1,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 0 格 / 运输 Lv2,1,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 0 格 / 运输 Lv5,1,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 0 格 / 运输 Lv8,1,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 1 格 / 运输 Lv0,0.9479,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 1 格 / 运输 Lv2,0.9591,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 1 格 / 运输 Lv5,0.9718,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 1 格 / 运输 Lv8,0.9806,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 2 格 / 运输 Lv0,0.9009,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 2 格 / 运输 Lv2,0.9215,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 2 格 / 运输 Lv5,0.9451,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 2 格 / 运输 Lv8,0.9619,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 4 格 / 运输 Lv0,0.8197,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 4 格 / 运输 Lv2,0.8544,倍,产出乘数（三种资源都乘）,TRANSPORT
距离效率,距离 4 格 / 运输 Lv5,0.896,倍,产出乘数（三种资源都乘）,TRANSPORT
